year,veg_class,n_polygons,area_acres,composite_productivity,sar_productivity,prod_tier,is_placeholder,biomass_scenario,biomass_mt
2023,Bare Soil,760,138.7,0.0,0.0,1,True,conservative_0p3,0.0
2023,Bare Soil,760,138.7,0.0,0.0,1,True,moderate_0p6,0.0
2023,Bare Soil,760,138.7,0.0,0.0,1,True,optimistic_1p2,0.0
2023,Beakrush,278,416.05,0.0,0.0803,0,True,conservative_0p3,0.0
2023,Beakrush,278,416.05,0.0,0.0803,0,True,moderate_0p6,0.0
2023,Beakrush,278,416.05,0.0,0.0803,0,True,optimistic_1p2,0.0
2023,Broadleaf Marsh,2444,2825.41,0.4249,0.7188,0,True,conservative_0p3,1457.4
2023,Broadleaf Marsh,2444,2825.41,0.4249,0.7188,0,True,moderate_0p6,2914.79
2023,Broadleaf Marsh,2444,2825.41,0.4249,0.7188,0,True,optimistic_1p2,5829.58
2023,Bulrush,3976,2013.54,0.0571,0.3037,0,True,conservative_0p3,139.68
2023,Bulrush,3976,2013.54,0.0571,0.3037,0,True,moderate_0p6,279.37
2023,Bulrush,3976,2013.54,0.0571,0.3037,0,True,optimistic_1p2,558.73
2023,Cabbage Palm Hammock,199,127.09,0.7003,0.8098,2,True,conservative_0p3,108.05
2023,Cabbage Palm Hammock,199,127.09,0.7003,0.8098,2,True,moderate_0p6,216.1
2023,Cabbage Palm Hammock,199,127.09,0.7003,0.8098,2,True,optimistic_1p2,432.21
2023,Cattail,6105,18640.98,0.4528,0.815,0,True,conservative_0p3,10248.13
2023,Cattail,6105,18640.98,0.4528,0.815,0,True,moderate_0p6,20496.25
2023,Cattail,6105,18640.98,0.4528,0.815,0,True,optimistic_1p2,40992.5
2023,Cloud,3,1345.07,0.0,0.0,1,True,conservative_0p3,0.0
2023,Cloud,3,1345.07,0.0,0.0,1,True,moderate_0p6,0.0
2023,Cloud,3,1345.07,0.0,0.0,1,True,optimistic_1p2,0.0
2023,Cordgrass,740,1399.68,0.2757,0.5401,2,True,conservative_0p3,468.42
2023,Cordgrass,740,1399.68,0.2757,0.5401,2,True,moderate_0p6,936.85
2023,Cordgrass,740,1399.68,0.2757,0.5401,2,True,optimistic_1p2,1873.69
2023,Cypress,7,22.11,0.6436,0.8194,2,True,conservative_0p3,17.27
2023,Cypress,7,22.11,0.6436,0.8194,2,True,moderate_0p6,34.55
2023,Cypress,7,22.11,0.6436,0.8194,2,True,optimistic_1p2,69.1
2023,Dead Vegetation,1695,2350.52,0.0,0.0,1,True,conservative_0p3,0.0
2023,Dead Vegetation,1695,2350.52,0.0,0.0,1,True,moderate_0p6,0.0
2023,Dead Vegetation,1695,2350.52,0.0,0.0,1,True,optimistic_1p2,0.0
2023,Floating Leaf Marsh,8565,7641.11,0.666,0.0673,0,True,conservative_0p3,6178.75
2023,Floating Leaf Marsh,8565,7641.11,0.666,0.0673,0,True,moderate_0p6,12357.5
2023,Floating Leaf Marsh,8565,7641.11,0.666,0.0673,0,True,optimistic_1p2,24714.99
2023,Grass Sedge Marsh,1680,3746.53,0.0595,0.3303,2,True,conservative_0p3,270.58
2023,Grass Sedge Marsh,1680,3746.53,0.0595,0.3303,2,True,moderate_0p6,541.16
2023,Grass Sedge Marsh,1680,3746.53,0.0595,0.3303,2,True,optimistic_1p2,1082.32
2023,Hardwood Swamp,1187,1103.71,0.7003,0.8098,2,True,conservative_0p3,938.4
2023,Hardwood Swamp,1187,1103.71,0.7003,0.8098,2,True,moderate_0p6,1876.81
2023,Hardwood Swamp,1187,1103.71,0.7003,0.8098,2,True,optimistic_1p2,3753.62
2023,Low Growing Emergent Marsh,4150,3709.35,0.9888,0.7905,0,True,conservative_0p3,4453.05
2023,Low Growing Emergent Marsh,4150,3709.35,0.9888,0.7905,0,True,moderate_0p6,8906.11
2023,Low Growing Emergent Marsh,4150,3709.35,0.9888,0.7905,0,True,optimistic_1p2,17812.21
2023,Maidencane Egyptian Paspalidium,1283,1838.58,0.0595,0.3303,0,True,conservative_0p3,132.78
2023,Maidencane Egyptian Paspalidium,1283,1838.58,0.0595,0.3303,0,True,moderate_0p6,265.57
2023,Maidencane Egyptian Paspalidium,1283,1838.58,0.0595,0.3303,0,True,optimistic_1p2,531.14
2023,Mixed Herbaceous Marsh,4977,6336.95,0.4249,0.7188,2,True,conservative_0p3,3268.71
2023,Mixed Herbaceous Marsh,4977,6336.95,0.4249,0.7188,2,True,moderate_0p6,6537.42
2023,Mixed Herbaceous Marsh,4977,6336.95,0.4249,0.7188,2,True,optimistic_1p2,13074.84
2023,Open Water,1357,22479.38,0.0,0.0,1,True,conservative_0p3,0.0
2023,Open Water,1357,22479.38,0.0,0.0,1,True,moderate_0p6,0.0
2023,Open Water,1357,22479.38,0.0,0.0,1,True,optimistic_1p2,0.0
2023,Phragmites,2438,1466.89,0.5322,0.6823,0,True,conservative_0p3,947.83
