veg_class,year,sensor,index,SOS,EOS,PEAK,PEAK_VAL,AUC,SEASON_LEN
Beakrush,2023,S1,VV,1.0,11.0,5.0,-8.810368082522844,-137.36793437622615,10.0
Beakrush,2023,S1,VH,1.0,9.0,4.0,-16.127378762260875,-256.69404768806953,8.0
Beakrush,2023,S1,RVI,1.0,8.0,4.0,0.7763711614414572,5.027757334587493,7.0
Beakrush,2023,S1,CR,1.0,8.0,4.0,-6.452749125136045,-119.3261133516198,7.0
Beakrush,2024,S1,VV,2.0,12.0,6.0,-8.292488243331741,-134.08601018508298,10.0
Beakrush,2024,S1,VH,2.0,12.0,6.0,-14.715407624362975,-241.7478514315996,10.0
Beakrush,2024,S1,RVI,1.0,11.0,6.0,0.7993713581383419,6.031962921012349,10.0
Beakrush,2024,S1,CR,1.0,10.0,6.0,-6.4229193803309315,-107.66184125721162,9.0
Beakrush,2025,S1,VV,1.0,5.0,1.0,-8.210869541043445,-113.84510530287189,4.0
Beakrush,2025,S1,VH,1.0,4.0,1.0,-14.10031117735923,-206.53032333481698,3.0
Beakrush,2025,S1,RVI,1.0,9.0,1.0,0.8814901533978767,6.826027981467043,8.0
Beakrush,2025,S1,CR,1.0,9.0,1.0,-5.889441640492937,-92.68521799645626,8.0
Broadleaf Marsh,2023,S1,VV,1.0,4.0,1.0,-2.973061020987984,-57.11635199415309,3.0
Broadleaf Marsh,2023,S1,VH,2.0,12.0,7.0,-12.880572014475394,-149.27104846093619,10.0
Broadleaf Marsh,2023,S1,RVI,1.0,11.0,5.0,0.9085271335179941,6.602260221669454,10.0
Broadleaf Marsh,2023,S1,CR,1.0,11.0,5.0,-5.6718326443301414,-92.15469648499496,10.0
Broadleaf Marsh,2024,S1,VV,1.0,5.0,1.0,-3.375803238631873,-69.21069128290902,4.0
Broadleaf Marsh,2024,S1,VH,2.0,12.0,6.0,-13.30078765598348,-155.8492371375029,10.0
Broadleaf Marsh,2024,S1,RVI,2.0,12.0,6.0,1.015016476031965,7.473934455927474,10.0
Broadleaf Marsh,2024,S1,CR,2.0,12.0,6.0,-4.805828190338808,-86.6385458763642,10.0
Broadleaf Marsh,2025,S1,VV,1.0,3.0,1.0,-7.152500593356577,-90.03478979954485,2.0
Broadleaf Marsh,2025,S1,VH,1.0,4.0,1.0,-13.222258560896316,-152.24749923441072,3.0
Broadleaf Marsh,2025,S1,RVI,1.0,8.0,4.0,1.0160148943633636,10.221525787739722,7.0
Broadleaf Marsh,2025,S1,CR,1.0,8.0,4.0,-5.086423363596252,-62.212709457271,7.0
Bulrush,2023,S1,VV,4.0,12.0,8.0,-7.0135773958856396,-98.96970077375096,8.0
Bulrush,2023,S1,VH,10.0,12.0,12.0,-18.51288601196267,-214.16573864717788,2.0
Bulrush,2023,S1,RVI,1.0,8.0,4.0,0.6233990845270172,4.824494503471177,7.0
Bulrush,2023,S1,CR,1.0,8.0,4.0,-8.07786382807955,-115.19603788594934,7.0
Bulrush,2024,S1,VV,1.0,4.0,1.0,-7.445465187160211,-103.33586126128009,3.0
Bulrush,2024,S1,VH,1.0,10.0,6.0,-17.334713416465398,-203.36514339249376,9.0
Bulrush,2024,S1,RVI,10.0,12.0,12.0,0.7367877014436712,6.046954473874697,2.0
Bulrush,2024,S1,CR,10.0,12.0,12.0,-7.504940792557073,-100.02928219871436,2.0
Bulrush,2025,S1,VV,3.0,12.0,8.0,-6.608260283132257,-87.41748317387463,9.0
Bulrush,2025,S1,VH,1.0,10.0,7.0,-16.113615397408317,-187.19569083470256,9.0
Bulrush,2025,S1,RVI,1.0,9.0,1.0,0.7147519808962942,5.839679532951782,8.0
Bulrush,2025,S1,CR,1.0,9.0,1.0,-7.429266135269379,-99.77820762301644,8.0
Cattail,2023,S1,VV,1.0,4.0,1.0,-5.740348734523471,-93.34598486834257,3.0
Cattail,2023,S1,VH,1.0,3.0,1.0,-12.240380609573446,-155.33012087907508,2.0
Cattail,2023,S1,RVI,1.0,11.0,6.0,1.0128135150861648,10.211897271493845,10.0
Cattail,2023,S1,CR,1.0,11.0,6.0,-5.104264503790939,-61.984136012822155,10.0
Cattail,2024,S1,VV,1.0,5.0,1.0,-6.809972395832862,-105.04822158650312,4.0
Cattail,2024,S1,VH,1.0,5.0,1.0,-13.199469607954393,-164.30224626333387,4.0
Cattail,2024,S1,RVI,2.0,12.0,6.0,1.0778806955281426,10.670387342892495,10.0
Cattail,2024,S1,CR,2.0,12.0,6.0,-4.694556562215202,-59.254024664360465,10.0
Cattail,2025,S1,VV,8.0,12.0,12.0,-8.169700028403838,-115.14984548664637,4.0
Cattail,2025,S1,VH,8.0,12.0,12.0,-14.365925321408751,-170.85835435428916,4.0
Cattail,2025,S1,RVI,1.0,11.0,6.0,1.1682200954348332,11.265891214181552,10.0
Cattail,2025,S1,CR,1.0,11.0,6.0,-4.182119739896887,-55.70850888109781,10.0
Floating Leaf Marsh,2023,S1,VV,2.0,12.0,8.0,-9.921712680095322,-123.97624906545369,10.0
