veg_class,year,composite_productivity,sar_productivity,AUC_norm_NDVI,AUC_norm_EVI,AUC_norm_NDRE,AUC_norm_RVI,AUC_norm_VV,AUC_norm_VH,AUC_norm_CR
Beakrush,2023,0.0,0.08030070125915034,0.0,0.0,0.0,0.18154287540449457,0.0,0.020058301420896357,0.11960162821121047
Beakrush,2024,0.09752106049292268,0.19760000949332873,0.09006646909685528,0.048328913728158014,0.15416779865375477,0.313296895538079,0.040895445220234306,0.15518524460326322,0.2810224526117384
Beakrush,2025,0.24113451586844517,0.41811482751241846,0.23736973871472106,0.10441741144235164,0.38161639744826287,0.4174800084153866,0.29311358574044655,0.47358310560400624,0.48828261028983444
Broadleaf Marsh,2023,0.4248706067837896,0.7187509105527189,0.5503871485811613,0.19634743807829044,0.5278772336919169,0.38812117758615305,1.0,0.9912580143084239,0.4956244503162988
Broadleaf Marsh,2024,0.4270133658668544,0.7138821929992094,0.5156879475320263,0.21895802989291913,0.5463941201756176,0.502486787738982,0.8492946938893305,0.9317853222409335,0.5719619681275917
Broadleaf Marsh,2025,0.4151760107408238,0.8317808991767353,0.4495320977340904,0.2669148997707412,0.5290810347176397,0.8629769189871631,0.58980948626447,0.9643482449162083,0.9099889465390995
Bulrush,2023,0.057140547211293295,0.3036642703702127,0.07093588218388537,0.010480408654643112,0.0900053507953514,0.1548743371038341,0.47847322710303053,0.40455214191379385,0.17675737536019243
Bulrush,2024,0.14310777627831336,0.40704476255370703,0.1835523582498106,0.04909997388997745,0.196670996695152,0.315263820821468,0.4240673156190414,0.502199154991363,0.3866487587829559
Bulrush,2025,0.2084204196505318,0.4872502310620339,0.26007165690486844,0.0853235701767384,0.27986603186998843,0.2880688847359487,0.6224232559619868,0.648385426038139,0.3901233575120613
Cattail,2023,0.4528311589214204,0.8149734221212768,0.4605692971022471,0.31353169341530013,0.5843924862467138,0.8617136361091697,0.5485493020972184,0.9364785961652107,0.9131521541135085
Cattail,2024,0.4195191489050371,0.7827237440327812,0.4024785551477985,0.3089191423505189,0.5471597492167938,0.9218685594781673,0.40272991298602434,0.8553625813464577,0.9509339223204755
Cattail,2025,0.4103690971725893,0.768236244781857,0.40332358543442925,0.29291271075705616,0.5348709953262824,1.0,0.2768554616630585,0.7960895174643696,1.0
Floating Leaf Marsh,2023,0.6660463659006121,0.06732587275698829,0.7608747856777509,0.6241930568282094,0.6130712551958758,0.0,0.16687129291750857,0.07857906402802387,0.02385313408242071
Floating Leaf Marsh,2024,0.6603887190796943,0.02352212230914669,0.7714582431222866,0.5841001144057332,0.6256077997110631,0.014042760402862888,0.08004572883372388,0.0,0.0
Floating Leaf Marsh,2025,0.6076046732190353,0.2827665076684036,0.7206931906070644,0.49201065862355237,0.6101101704264891,0.15358077320805766,0.36874754970102147,0.36723737894235015,0.24150032882218517
Low Growing Emergent Marsh,2023,0.9888269689048864,0.7905448579482042,0.9999290995581052,0.9768099387673681,0.9897418683891859,0.8111357290099347,0.5456662249714997,0.9177268022029513,0.887650675608431
Low Growing Emergent Marsh,2024,1.0,0.8012130966946004,1.0,1.0,1.0,0.8401920831061006,0.5360768865586142,0.9226883001900479,0.9058951169236388
Low Growing Emergent Marsh,2025,0.8547615409047452,0.8582839511549403,0.897515042676015,0.8230122253375008,0.8437573547007196,0.979035456782491,0.5009720984477712,0.956496172026718,0.9966320773627806
Maidencane Egyptian Paspalidium,2023,0.05948757930397541,0.3302587496832915,0.07809071508643656,0.007119571100748366,0.09325245172474132,0.3046604462010095,0.26622710187736986,0.3781241194930729,0.37202333116171377
